registration_number,business_type,registration_date,name_in_pdf,search_name,association,source_page,match_status,match_count,official_name,corporate_number,official_address_with_postcode
5149,第３種,平成14年05月14日,インターナショナルハンズ株式会社(ＩＨトラベル),インターナショナルハンズ株式会社,,5,unique_match,1,インターナショナルハンズ株式会社,3011101032663,〒160-0023 東京都新宿区西新宿７丁目７番７号・ハイライフ西新宿２１６号室
5151,第３種,平成14年05月14日,株式会社日本経済社,株式会社日本経済社,,5,unique_match,1,株式会社日本経済社,6010001062000,〒107-0051 東京都港区元赤坂１丁目２番７号
5158,第３種,平成14年05月28日,有限会社フライト,有限会社フライト,ＪＡＴＡ,5,duplicate_name,18,,,
5159,第３種,平成14年05月30日,有限会社ハルト観光,有限会社ハルト観光,ＡＮＴＡ,5,unique_match,1,有限会社ハルト観光,4011702014316,〒134-0082 東京都江戸川区宇喜田町１４４２番地１
5161,第３種,平成14年06月04日,株式会社新高,株式会社新高,,5,duplicate_name,8,,,
5177,第３種,平成14年07月09日,株式会社トラベル・プランニング・サービス,株式会社トラベル・プランニング・サービス,,5,unique_match,1,株式会社トラベル・プランニング・サービス,7010002036118,〒101-0032 東京都千代田区岩本町２丁目８番２号
5178,第３種,平成14年07月09日,株式会社スティア・コーポレーション(アメージングツアージャパン),株式会社スティア・コーポレーション,ＡＮＴＡ,6,unique_match,1,株式会社スティア・コーポレーション,3010401054806,〒105-0012 東京都港区芝大門２丁目９番２号
5184,第３種,平成14年07月25日,株式会社アーベーセー,株式会社アーベーセー,,6,duplicate_name,3,,,
5192,第３種,平成14年08月09日,株式会社ヴァリー国際エージェンシー,株式会社ヴァリー国際エージェンシー,ＡＮＴＡ,6,unique_match,1,株式会社ヴァリー国際エージェンシー,8010601020636,〒130-0026 東京都墨田区両国２丁目１２番２号
5199,第２種,平成14年08月20日,東武バス株式会社,東武バス株式会社,,6,unique_match,1,東武バス株式会社,9010601028389,〒131-0045 東京都墨田区押上１丁目１番２号
5200,第３種,平成14年08月20日,東武バスセントラル株式会社,東武バスセントラル株式会社,,6,unique_match,1,東武バスセントラル株式会社,7010601028531,〒131-0045 東京都墨田区押上１丁目１番２号
5208,第２種,平成14年09月03日,京王電鉄バス株式会社,京王電鉄バス株式会社,ＡＮＴＡ,6,unique_match,1,京王電鉄バス株式会社,9013401002381,〒206-0011 東京都多摩市関戸１丁目９番地１
5209,第２種,平成14年09月05日,株式会社明大サポート,株式会社明大サポート,ＪＡＴＡ,6,unique_match,1,株式会社明大サポート,6010001030642,〒101-0062 東京都千代田区神田駿河台１丁目３番地１
5211,第３種,平成14年09月10日,株式会社マイバケーションツーリスト,株式会社マイバケーションツーリスト,,6,unique_match,1,株式会社マイバケーションツーリスト,9011101033879,〒169-0075 東京都新宿区高田馬場１丁目２９番２号
5218,第３種,平成14年09月19日,ドラゴン・マネジメント株式会社,ドラゴン・マネジメント株式会社,ＡＮＴＡ,6,unique_match,1,ドラゴン・マネジメント株式会社,2011101050773,〒162-0065 東京都新宿区住吉町３番２号
5220,第３種,平成14年09月26日,有限会社ファーイースト,有限会社ファーイースト,,6,duplicate_name,18,,,
5222,第３種,平成14年10月01日,テイエス企画株式会社(テイエストラベル),テイエス企画株式会社,ＪＡＴＡ,6,unique_match,1,テイエス企画株式会社,6011101013306,〒169-0075 東京都新宿区高田馬場１丁目３０番５号
5229,第２種,平成14年10月29日,日本ワールドエンタープライズ株式会社,日本ワールドエンタープライズ株式会社,,6,unique_match,1,日本ワールドエンタープライズ株式会社,1013301019475,〒170-0013 東京都豊島区東池袋２丁目１８番７号
5234,第２種,平成14年11月07日,株式会社トラベックスツアーズ,株式会社トラベックスツアーズ,ＡＮＴＡ,6,unique_match,1,株式会社トラベックスツアーズ,6011101042750,〒140-0002 東京都品川区東品川２丁目２番２４号
5236,第３種,平成14年11月12日,村嶋　妙子(愛（あい）観光),村嶋　妙子,,6,not_found,0,,,
5238,第３種,平成14年11月19日,ベスト・ケイジェイ株式会社,ベスト・ケイジェイ株式会社,,6,unique_match,1,ベスト・ケイジェイ株式会社,1013301030416,〒171-0014 東京都豊島区池袋２丁目６１番８号
5240,第３種,平成14年11月21日,西木　久恵(トラベルサポート空),西木　久恵,,6,not_found,0,,,
5247,第３種,平成14年12月03日,イースタートラベル有限会社(イースタートラベル),イースタートラベル有限会社,,6,unique_match,1,イースタートラベル有限会社,4011502013311,〒116-0013 東京都荒川区西日暮里２丁目２７番３号
5248,第３種,平成14年12月05日,株式会社エムアールシージャパン,株式会社エムアールシージャパン,,6,duplicate_name,2,,,
5257,第３種,平成14年12月24日,有限会社ツアーＴＯＫＹＯ,有限会社ツアーＴＯＫＹＯ,ＡＮＴＡ,6,unique_match,1,有限会社ツアーＴＯＫＹＯ,4013302017954,〒170-0013 東京都豊島区東池袋４丁目１４番９号
5264,第２種,平成15年01月14日,株式会社ピーアイティー(パラダイスアイランズツアー),株式会社ピーアイティー,ＡＮＴＡ,6,duplicate_name,4,,,
5276,第３種,平成15年02月17日,株式会社ＪＡＬエービーシ－,株式会社ＪＡＬエービーシ－,,6,not_found,0,,,
5277,第３種,平成15年02月18日,有限会社勤労者旅行会(ＪＡＰＡＮ　ＵＮＩＯＮ　ＴＲＡＶＥＬ),有限会社勤労者旅行会,ＡＮＴＡ,6,unique_match,1,有限会社勤労者旅行会,4010002037894,〒101-0063 東京都千代田区神田淡路町１丁目２１番地
5278,第３種,平成15年02月18日,有限会社リバティヒルバケーション,有限会社リバティヒルバケーション,,6,unique_match,1,有限会社リバティヒルバケーション,3013202011109,〒152-0035 東京都目黒区自由が丘３丁目１７番１号
5284,第３種,平成15年03月04日,近藤　由紀子(国内綜合観光),近藤　由紀子,ＡＮＴＡ,6,not_found,0,,,
5291,第３種,平成15年03月18日,有限会社ヒロ・トラベル・フォト,有限会社ヒロ・トラベル・フォト,,6,unique_match,1,有限会社ヒロ・トラベル・フォト,3011102022498,〒160-0023 東京都新宿区西新宿７丁目１９番２２号
5292,第２種,平成15年03月20日,株式会社マイドゥ・インク,株式会社マイドゥ・インク,ＪＡＴＡ,6,unique_match,1,株式会社マイドゥ・インク,3010501021870,〒111-0042 東京都台東区寿３丁目３番１０号
